,date,AvgSolar,AvgWindDir,AvgWindSpeed,Beam_temperature_corrected,NH4_mean,NO3_mean,PO4_mean,SiO2_mean,doy,doy_numeric,month,monthname,synconc,year,year_numeric,temp,lindex,log_syn,Beam_temperature_corrected_interpolated_flag,Beam_temperature_corrected_filled,Beam_temperature_corrected_interpolated,Beam_temperature_corrected_std,daily_index,synconc_interpolated_flag,synconc_filled,synconc_interpolated,synconc_std
0,2003-05-10,,,,,,,,,1900-05-10,130,5.0,May,354.187094151525,2003,2003.3561643835617,,0,5.869825288071479,True,,10.648950360553075,0.5751113796617442,0,False,354.187094151525,354.187094151525,0.1
1,2003-05-11,,,,,,,,,1900-05-11,131,5.0,May,381.91688262691,2003,2003.358904109589,,1,5.945203000185272,True,,11.003312531023019,0.5870595792806234,1,False,381.91688262691,381.91688262691,0.1
2,2003-05-12,,,,,,,,,1900-05-12,132,5.0,May,507.483356305839,2003,2003.3616438356164,,2,6.229463914921685,True,,11.08728675365612,0.5884628723973171,2,False,507.483356305839,507.483356305839,0.1
3,2003-05-13,,,,,,,,,1900-05-13,133,5.0,May,704.463938697619,2003,2003.3643835616438,,3,6.557437142942214,True,,11.19441390624999,0.6224828549248148,3,False,704.463938697619,704.463938697619,0.1
4,2003-05-14,,,,,,,,,1900-05-14,134,5.0,May,898.691727353156,2003,2003.3671232876711,,4,6.80094006949584,True,,11.30292404832056,0.6149158780143974,4,False,898.691727353156,898.691727353156,0.1
5,2003-05-15,,,,,,,,,1900-05-15,135,5.0,May,1130.77987504155,2003,2003.3698630136987,,5,7.030662828563037,True,,11.572171742723764,0.5467702329731693,5,False,1130.77987504155,1130.77987504155,0.1
6,2003-05-16,,,,,,,,,1900-05-16,136,5.0,May,1376.75263682716,2003,2003.372602739726,,6,7.22748284339564,True,,11.785773690542461,0.240808823521542,6,False,1376.75263682716,1376.75263682716,0.1
7,2003-05-17,,,,,,,,,1900-05-17,137,5.0,May,1485.19506484443,2003,2003.3753424657534,,7,7.3033013994078475,True,,11.740779247598116,0.7000911009195915,7,False,1485.19506484443,1485.19506484443,0.1
8,2003-05-18,,,,,,,,,1900-05-18,138,5.0,May,1641.09420677194,2003,2003.3780821917808,,8,7.40311849759096,True,,11.718846409268895,0.7534715510840612,8,False,1641.09420677194,1641.09420677194,0.1
9,2003-05-19,,,,,,,,,,139,,,,2003,,,9,,True,,11.832434268839222,0.9145286581746443,9,True,1803.0098944434526,1803.0098944434526,6800.931761899941
10,2003-05-20,,,,,,,,,,140,,,,2003,,,10,,True,,12.051057094161385,0.7688173003605776,10,True,1947.6786963849854,1947.6786963849854,7557.898274629977
11,2003-05-21,,,,,,,,,,141,,,,2003,,,11,,True,,12.252457605399602,0.7037624843316327,11,True,2079.95708385548,2079.95708385548,7856.389944156245
12,2003-05-22,,,,,,,,,,142,,,,2003,,,12,,True,,12.460676984862687,0.48876457324661005,12,True,2204.70152811388,2204.70152811388,8224.962529773531
13,2003-05-23,,,,,,,,,,143,,,,2003,,,13,,True,,12.597111312572189,0.48647026541228444,13,True,2326.768500419128,2326.768500419128,8644.265388112213
14,2003-05-24,,,,,,,,,,144,,,,2003,,,14,,True,,12.45478803066266,0.7558467515065687,14,True,2451.014472030168,2451.014472030168,9689.279642468082
15,2003-05-25,,,,,,,,,,145,,,,2003,,,15,,True,,12.606890664141417,0.8516864757136301,15,True,2582.2959142059403,2582.2959142059403,11595.041573398574
16,2003-05-26,,,,,,,,,,146,,,,2003,,,16,,True,,12.923114703282819,0.8534677720755388,16,True,,14876.816621410435,14487.753472472803
17,2003-05-27,,,,,,,,,,147,,,,2003,,,17,,True,,13.082559101786844,0.7216535492574062,17,True,,17153.50524682591,16829.29681179353
18,2003-05-28,,,,,,,,,1900-05-28,148,5.0,May,3066.91777671109,2003,2003.4054794520548,,18,8.028428354726872,True,,13.120755166396101,0.8053506043449324,18,False,3066.91777671109,3066.91777671109,0.1
19,2003-05-29,,,,,,,,,1900-05-29,149,5.0,May,3284.63329668429,2003,2003.4082191780822,,19,8.097010295063395,True,,13.396960560972685,0.7982059895223598,19,False,3284.63329668429,3284.63329668429,0.1
20,2003-05-30,,,,,,,,,1900-05-30,150,5.0,May,3596.43684573507,2003,2003.4109589041095,,20,8.187698869229717,True,,13.567489861518238,0.965069713883503,20,False,3596.43684573507,3596.43684573507,0.1
21,2003-05-31,,,,,,,,,1900-05-31,151,5.0,May,4056.24883910801,2003,2003.4136986301369,,21,8.308013894254026,True,,13.867494759968112,1.1144230990039024,21,False,4056.24883910801,4056.24883910801,0.1
22,2003-06-01,,,,,,,,,1900-06-01,152,6.0,June,4491.99803149137,2003,2003.4164383561645,,22,8.410052877632808,True,,14.061992606031138,0.8282431670149581,22,False,4491.99803149137,4491.99803149137,0.1
23,2003-06-02,,,,,,,,,1900-06-02,153,6.0,June,4647.00244627408,2003,2003.4191780821918,,23,8.443977655504913,True,,14.136485766134065,0.7711352484294046,23,False,4647.00244627408,4647.00244627408,0.1
24,2003-06-03,,,,,,,,,1900-06-03,154,6.0,June,5366.65544112783,2003,2003.4219178082192,,24,8.587960170586946,True,,14.049530258941063,0.6141427327691125,24,False,5366.65544112783,5366.65544112783,0.1
25,2003-06-04,,,,,,,,,1900-06-04,155,6.0,June,6542.76316248446,2003,2003.4246575342465,,25,8.786114857131384,True,,13.998542935673106,0.7641120250365284,25,False,6542.76316248446,6542.76316248446,0.1
26,2003-06-05,,,,,,,,,1900-06-05,156,6.0,June,7196.50917833581,2003,2003.427397260274,,26,8.881351351090755,True,,14.356256326880885,0.7280241355761534,26,False,7196.50917833581,7196.50917833581,0.1
27,2003-06-06,,,,,,,,,1900-06-06,157,6.0,June,7968.40697103003,2003,2003.4301369863015,,27,8.983239873641596,True,,14.345722912326387,0.9048813638052117,27,False,7968.40697103003,7968.40697103003,0.1
28,2003-06-07,,,,,,,,,1900-06-07,158,6.0,June,9411.23192610214,2003,2003.4328767123288,,28,9.149659140705815,True,,14.292114366512367,0.8835101107337499,28,False,9411.23192610214,9411.23192610214,0.1
29,2003-06-08,,,,,,,,,1900-06-08,159,6.0,June,11039.411350247,2003,2003.4356164383562,,29,9.309226998685535,True,,14.56400088541668,0.7118147308250806,29,False,11039.411350247,11039.411350247,0.1
30,2003-06-09,,,,,,,,,1900-06-09,160,6.0,June,12396.3767996699,2003,2003.4383561643835,,30,9.42515951532126,True,,14.59195398831044,0.632636104368633,30,False,12396.3767996699,12396.3767996699,0.1
31,2003-06-10,,,,,,,,,1900-06-10,161,6.0,June,14032.4177236746,2003,2003.441095890411,,31,9.54912548352994,True,,14.78749823611111,0.5921119887547462,31,False,14032.4177236746,14032.4177236746,0.1
32,2003-06-11,,,,,,,,,1900-06-11,162,6.0,June,16415.796692248,2003,2003.4438356164383,,32,9.705999363162324,True,,14.72576809405759,0.6734570643653007,32,False,16415.796692248,16415.796692248,0.1
33,2003-06-12,,,,,,,,,1900-06-12,163,6.0,June,19836.1801002615,2003,2003.4465753424658,,33,9.895262827032491,True,,14.928161135065741,0.7889409566209297,33,False,19836.1801002615,19836.1801002615,0.1
34,2003-06-13,,,,,,,,,1900-06-13,164,6.0,June,23578.3169071939,2003,2003.4493150684932,,34,10.068082793562233,True,,15.199914888260967,0.8487471704578694,34,False,23578.3169071939,23578.3169071939,0.1
35,2003-06-14,,,,,,,,,1900-06-14,165,6.0,June,26995.8186749231,2003,2003.4520547945206,,35,10.203437269102078,True,,15.354484475199405,0.5455025369709129,35,False,26995.8186749231,26995.8186749231,0.1
36,2003-06-15,,,,,,,,,1900-06-15,166,6.0,June,31690.8057473507,2003,2003.454794520548,,36,10.363781878280026,True,,15.299569320783899,0.5342297041563514,36,False,31690.8057473507,31690.8057473507,0.1
